CODPROD;DESCRICAO;EMBALAGEM;QTUNITCX;MARCA;PESOLIQ;CODFORNEC
167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;24;NESTLE;0,13;16
168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;130G;24;NESTLE;0,13;16
169;BEB LACTEA NESTLE MORANGO 10X900G;10X900G;10;NESTLE;0,9;16
177;BEB LACTEA NINHO SOLEIL MACA+BNA 48X180G;180G;48;NESTLE;0,18;16
178;BEB LACTEA NINHO SOLEIL MORANGO 48X180G;180G;48;NESTLE;0,18;16
179;IOGURTE NINHO SOLEIL MORANGO 10X900G;10X900G;10;NESTLE;0,9;16
180;NINHO IOGURTE POLPA 6X540G;540G;6;NESTLE;0,54;16
181;CHAMBINHO PETIT CHOC 20X480G;20X480G;20;NESTLE;0,48;16
182;CHAMBINHO PETIT MRG 12X480G;480G;12;NESTLE;0,48;16
183;CHAMBINHO PETIT MOR 16X320G;320G;16;NESTLE;0,32;16
184;NINHO SOLEIL PETIT MOR 28X360G;28X360G;28;NESTLE;0,36;16
185;CHAMYTO NECTAR 27X200ML LARANJA;27X200ML;27;NESTLE;0,2;16
186;CHAMYTO NECTAR 27X200ML MACA;27X200ML;27;NESTLE;0,2;16
170;BEB LACTEA NESTLE MORANGO 48X180G;48X180G;48;NESTLE;0,18;16
171;BEB LACTEA NESTLE POLPA 3 SABORES 6X540G;6X540G;6;NESTLE;0,54;16
172;NESTLE BEB LACTEA POLPA MORANGO 6X540G;540G;6;NESTLE;0,54;16
174;NESTON IOGURTE LIQ MACA BNA 12X850G;850G;12;NESTLE;0,85;16
175;BEB LACTEA NESTON POLPA 6X600G;6X600G;6;NESTLE;0,6;16
176;NINHO IOGURTE LIQ MACA E BANANA 12X850G;850G;12;NESTLE;0,85;16
187;CHAMYTO NECTAR 27X200ML UVA;27X200ML;27;NESTLE;0,2;16
188;CHANDELLE CHOCOLATE 20X220G;20X220G;20;NESTLE;0,22;16
189;CHANDELLE CHOCOLATE BRANCO 20X220G;20X220G;20;NESTLE;0,22;16
190;CHANDELLE CREME+BISC NEGRESCO 24X111G;24X111G;24;NESTLE;0,111;16
191;CHANDELLE TORTA LIMAO 20X180G;20X180G;20;NESTLE;0,18;16
192;NESTLE BICAM IOGURTE MORANGO 28X150G;150G;28;NESTLE;0,15;16
193;IOGURTE GREGO NESTLE DINIEPER 6X600G;6X600G;6;NESTLE;0,6;16
194;NESTLE GREGO IOG FRUTAS VERM 12X400G;400G;12;NESTLE;0,4;16
195;IOGURTE GREGO NESTLE TRADICIONAL 12X400G;12X400G;12;NESTLE;0,4;16
196;IOGURTE GREGO NESTLE TRADICIONAL 24X110G;24X110G;24;NESTLE;0,11;16
197;IOGURTE NESCAU COM CEREAL 24X106G;24X106G;24;NESTLE;0,106;16
198;NESTLE NATURAL CENOURA+LARANJA 28X170G;170G;28;NESTLE;0,17;16
199;IOGURTE NESTLE NATURAL 28X170G;170G;28;NESTLE;0,17;16
200;NESTLE IOG NATURAL DESNATADO 28X160G;160G;28;NESTLE;0,16;16
201;IOGURTE NESTLE NATURAL MEL 28X170G;170G;28;NESTLE;0,17;16
202;MOLICO LEITE FERM LIQ MRG 12X850G;850G;12;NESTLE;0,85;16
203;MOLICO LEIFERMENTADO LIQ MRG 24X170G;170G;24;NESTLE;0,17;16
204;NESTLE FLAN CARAMELO 20X200G;200G;20;NESTLE;0,22;16
205;NESTLE FLAN MORANGO 20X220G;220G;20;NESTLE;0,22;16
206;NESTLE GREGO IOG LIGHT 3 SAB 6X540G;540G;6;NESTLE;0,54;16
207;IOGURTE GREGO LIQ NESTLE FR VERM 48X170G;48X170G;48;NESTLE;0,17;16
208;IOGURTE GREGO LIQ NESTLE TRADIC 48X170G;48X170G;48;NESTLE;0,17;16
209;IOGURTE NESTLE GREGO+CORN FLAKES 24X105G;24X105G;24;NESTLE;0,105;16
210;IOGURTE NESTLE GREGO+PED ABACAXI 24X130G;24X130G;24;NESTLE;0,13;16
211;IOGURTE NESTLE GREGO+PED MORANGO 24X130G;24X130G;24;NESTLE;0,13;16
212;NINHO SOLEIL PETIT MRG+BNA&MC 16X320G;320G;16;NESTLE;0,32;16
213;REQUEIJAO CREMOSO NESTLE 15X200G;PT 200G;15;NESTLE;0,2;16
214;REQUEIJAO CREMOSO NESTLE LIGHT 15X200G;PT 200G;15;NESTLE;0,2;16
279;LEITE FERM MOLICO FRUT VERM 12X400G;12X400G;12;NESTLE;0,4;16
255;CHANDELLE SENSACAO 20X220G;20X220G;20;NESTLE;0,22;16
287;NINHO IOGURTE LIQ MACA E BANANA 24X170G;170G;24;NESTLE;0,17;16
247;CHAMBINHO PETIT MRG 38X80G;38X80G;38;NESTLE;0,08;16
288;NINHO IOGURTE MORANGO 24X170G;170G;24;NESTLE;0,17;16
295;PALLET ;1 UN;1;NESTLE;1;16
296;IOGURTE NESTLE GREGO LIGHT MEL 48X170G;48X170G;48;NESTLE;0,17;16
248;NESTLE GREGO LIGHT BAUNILHA 12X360G;360G;12;NESTLE;0,36;16
249;NESTLE GREGO LIGHT MARACUJA 12X360G;360G;12;NESTLE;0,36;16
250;IOGURTE GREGO NESTLE ABACAXI 12X400G;12X400G;12;NESTLE;0,4;16
251;IOGURTE GREGO NESTLE PESSEGO 12X400G;12X400G;12;NESTLE;0,4;16
252;IOGURTE GREGO NESTLE SEM ACUCAR 24X110G;24X110G;24;NESTLE;0,11;16
253;LEITE FERM MOLICO VIT FRUTAS 48X170G;48X170G;48;NESTLE;0,17;16
254;NINHO FRUTI MORANGO 8X250G;250G;8;NESTLE;0,25;16
333;NESTON IOGURTE POLPA 2 SABORES 6X540G;540G;6;NESTLE;0,54;16
297;CHANDELLE BOMBOM GALAK 32X160G;CX 32X160G;32;NESTLE;0,16;16
298;CHANDELLE BOMBOM CLASIC 32X160G;160G;32;NESTLE;0,16;16
299;IOGURTE NESTLE GREGO LIGHT MAR 48X170G;CX 48X170G;48;NESTLE;0,17;16
394;SALSICHA VIENA ODERICH 24X180G;CX 24X180G;1;ODERICH;4,32;169
403;NESTLE GREGO TORTA DE MORANGO 48X90G;90G;48;NESTLE;0,09;16
404;LEITE FERM CHAMYTO CITRUS 20X6X75G;PC 6X75G;120;NESTLE;0,075;16
405;LEITE FERM NINHO 20X6X75G;PC 6X75G;120;NESTLE;0,075;16
843;IOGURTE NINHO POLPA S/LACTOSE MRG 12X360;12X360G;12;NESTLE;0,36;16
844;NINHO IOGURTE FRUTI UVA 8X250G;250G;8;NESTLE;0,25;16
1157;CARCACA C/PELE CONG NUTRIBRAS 44KG CAIXA;44KG;44,17;NUTRIBRAS;1;116
454;CHANDELLE CHANTILLY CAFE 24X200G;24X200G;24;NESTLE;0,2;16
451;CHAMBINHO CHOCOLATE 16X320G;320G;16;NESTLE;0,32;16
448;CHANDELLE CHANTILLY CHOCOLATE 24X200G;200G;24;NESTLE;0,2;16
449;CHANDELLE CHANTILLY CARAMELO 24X200G;24X200G;24;NESTLE;0,2;16
450;CHANDELLE CHOCOLATE 24X180G;180G;24;NESTLE;0,18;16
452;CHAMBINHO PETIT ALGOD DOCE E TRF 16X320G;16X320G;16;NESTLE;0,32;16
453;CHANDELLE CHOCOLATE 18X360G;360G;18;NESTLE;0,36;16
505;NESTLE GREGO TORTA DE LIMAO 48X90G;90G;48;NESTLE;0,09;16
506;IOGURTE GREGO NESTLE TORTA MACA 48X90G;48X90G;48;NESTLE;0,09;16
807;IOGURTE GREGO NESTLE LIGHT TRADIC 48X90G;48X90G;48;NESTLE;0,09;16
808;NESTLE GREGO IOG LT TORTA MARJ 48X90G;90G;48;NESTLE;0,09;16
809;NESTLE GREGO IOG LIGHT T FRT VERM 48X90G;90G;48;NESTLE;0,09;16
810;NESTLE GREGO TRADICIONAL 48X90G;90G;48;NESTLE;0,09;16
811;IOGURTE GREGO NESTLE TORTA BANANA 48X90G;48X90G;48;NESTLE;0,09;16
1886;CHAMYTO IOGURTE LIQ PROTEINA 24X170G;170G;24;NESTLE;0,17;16
1735;NESTLE IOGURTE POLPA MORANGO 6X540G;540G;6;NESTLE;0,54;16
1885;CHAMYTO IOGURTE LIQ PROTEINA 12X850G;850G;12;NESTLE;0,85;16
828;IOGURTE NESTLE GREGO BLUEBERRY 12X360G;12X360G;12;NESTLE;0,36;16
759;CHAMYTO LEITE FERMENTADO 21X6X75G;PC 6X75G;21;NESTLE;0,45;16
842;NESTLE IOG LIQ MORANGO 0 LACTOSE 24X170G;170G;24;NESTLE;0,17;16
805;NINHO SOLEIL PETIT LEITE 28X320G;28X320G;28;NESTLE;0,32;16
806;IOGURTE NESTLE GREGO LIGHT LIMAO 12X360G;12X360G;12;NESTLE;0,36;16
705;CHANDELLE CHOCOLATE BRANCO 24X180G;180G;24;NESTLE;0,18;16
1512;NESTLE IOGURTE VIT DE FRUTA 12X1,250G;1,250G;12;NESTLE;1,25;16
1513;CHAMYTO IOGURTE MORANGO 12X360G;360G;12;NESTLE;0,36;16
1514;CHAMYTO IOGURTE LIQ MORANGO 12X850G;850G;12;NESTLE;0,85;16
1515;CHAMYTO IOGURTE LIQ MRG 24X170G;170G;24;NESTLE;0,17;16
1521;CHAMYTO GO IOG LIQ MORANGO 24X100G;100G;24;NESTLE;0,1;16
1522;NESTLE GREGO FRUTAS VERMELHAS 48X90G;90G;48;NESTLE;0,09;16
1469;SALSICHA TARGET 24X180G;LT 180G;24;TARGET;0,18;169
1559;CARCACA C/PELE CONG NUTRIBRAS 44KG BANDA;44KG;40;NUTRIBRAS;1;116
1504;NESTLE IOGURTE MORANGO Z LACTOZE 12X360G;360G;12;NESTLE;0,36;16
2104;NESFIT IOGURTE MORANGO BAUN 20X150G;150G;20;NESFIT;0,15;16
1517;NESTON IOGURTE LIQ MACA E BAN 24X170G;170G;24;NESTLE;0,17;16
1518;NESTLE BEB LACTEA POLPA 2 SABORES 6X540G;540G;6;NESTLE;0,54;16
1519;NESTLE GREGO IOG TRAD + MRG 6X600G;600G;6;NESTLE;0,6;16
1520;CHAMYTO GO IOG LIQ VITAMINA 24X100G;100G;24;NESTLE;0,1;16
2037;NESFIT IOGURTE FRUTAS VERM 12X850G;850G;12;NESFIT;0,85;16
2038;NESFIT IOGURTE MORANGO BAUN 12X850G;850G;12;NESFIT;0,85;16
2039;NESFIT IOGURTE MARACUJA AVEIA 12X850G;850G;12;NESFIT;0,85;16
1505;NESTLE IOG VIT DE FRUTA 24X170G;170G;24;NESTLE;0,17;16
1506;NESTLE IOG VIT DE FRUTA 12X900G;900G;12;NESTLE;0,9;16
1507;NINHO PETIT MRG E LEITE 16X320G;320G;16;NESTLE;0,32;16
1508;NESTLE GREGO IOG LT MORANGO 12X360G;360G;12;NESTLE;0,36;16
2040;NESFIT IOGURTE FRUTAS VERMELHAS 24X170G;170G;24;NESFIT;0,17;16
2041;NESFIT IOGURTE MARACUJA AVEIA 24X170G;170G;24;NESFIT;0,17;16
2042;NESFIT IOGURTE MORANGO BAUN 24X170G;170G;24;NESFIT;0,17;16
1509;NESTLE IOGURTE MORANGO 24X170G;170G;24;NESTLE;0,17;16
1510;NESTLE IOGURTE MORANGO 12X1,250G;1,250G;12;NESTLE;1,25;16
1511;NESTLE IOGURTE MORANGO 12X900G;900G;12;NESTLE;0,9;16
1887;CHANDELLE CHOCOLATE BRANCO 18X360G;360G;18;NESTLE;0,36;16
1796;NESTLE IOGURTE PEDACOS MORANGO 28X100G;100G;28;NESTLE;0,1;16
1699;NESTLE GREGO IOG FLOCOS 12X400G;400G;12;NESTLE;0,4;16
1958;NESTLE GREGO TORTA MORANGO 24X90G;90G;24;NESTLE;0,09;16
2099;MOLICO IOGURTE LIQ MRG 12X850G;850G;12;NESTLE;0,85;16
2100;MOLICO IOGURTE LIQ MRG 24X170G;170G;24;NESTLE;0,17;16
1652;NESTLE GREGO MORANGO 24X90G;90G;24;NESTLE;0,09;16
1653;NESTLE GREGO FLOCOS 24X90G;90G;24;NESTLE;0,09;16
1693;NINHO IOGURTE LIQ MACA E BANANA 24X100G;100H;24;NESTLE;0,1;16
1697;CHANDELLE CHOCOLATE 6X720G;720G;6;NESTLE;0,72;16
1698;CHAMYTO LEITE FERM 21X6X120G;120G;21;NESTLE;0,12;16
1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;540G;6;NESTLE;0,54;16
1963;NESTLE GREGO TORTA LIMAO 24X90G;90G;24;NESTLE;0,09;16
1668;NESTLE FLAN CARAMELO 8X400G;400G;8;NESTLE;0,4;16
1939;NESTLE GREGO FRUTAS VERMELHAS 24X90G;90G;24;NESTLE;0,09;16
1940;NESTLE GREGO TORTA MARACUJA 24X90G;90G;24;NESTLE;0,09;16
1941;NESTLE GREGO TRADICIONAL 24X90G;90G;24;NESTLE;0,09;16
1942;CHAMYTO IOGURTE PROTEINA TURBO 24X100G;100G;24;NESTLE;0,1;16
2169;QUEIJO MUSSARELA GIROLANDA;PC 4KG;24,5;GIROLANDA;1;169
2332;NESTLE FLAN MORANGO 20X200G;200G;20;NESTLE;0,2;16
2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;20;NESFIT;0,15;16
2373;NINHO IOGURTE POLPA 6X720G;720G;6;NESTLE;0,72;16
2455;MOLICO IOGURTE LIQ BAUN 24X170G;170G;24;NESTLE;0,17;16
2151;SABAO EM PO ABSOLUTO SC 20X500G ;500G;20;ABSOLUTO;0,5;169
2152;SABAO EM PO GUARANI SC 20X500G ;500G;20;GUARANI;0,5;169
2347;CHAMBINHO PETIT MRG 64X80G;64X80G;64;NESTLE;0,08;16
2721;NESFIT IOGURTE POLPA MARACUJA 12X360G;360G;12;NESFIT;0,36;16
2722;NESFIT IOGURTE POLPA FRUTAS VERM12X360G;360G;12;NESFIT;0,36;16
2723;NESFIT IOGURTE POLPA MORANGO BAUN 6X720G;720G;6;NESFIT;0,72;16
2664;MOLICO IOGURTE LIQ BAUN 12X850G;850G;12;NESTLE;0,85;16
